epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.738,0.93139,1.40393,1.14689,0.6903,0.7769,0.80306,0.5674,0.84089,1.68922,1.08804,0.000653333,0.000653333,0.000653333
2,628.51,1.02822,1.07356,1.22291,0.49657,0.58921,0.48594,0.28532,1.15837,2.76084,1.35329,0.00130693,0.00130693,0.00130693
3,938.98,1.13128,1.14362,1.27303,0.49727,0.63071,0.52466,0.32513,1.11726,2.5817,1.38361,0.00194733,0.00194733,0.00194733
4,1240.25,1.1304,1.15427,1.27403,0.55096,0.6888,0.6293,0.35653,1.09641,2.11041,1.4139,0.0019406,0.0019406,0.0019406
5,1541.98,1.12421,1.05079,1.27742,0.60363,0.6971,0.72969,0.48372,1.13009,1.50377,1.31139,0.0019208,0.0019208,0.0019208
6,1844.54,1.10488,1.00862,1.25028,0.73979,0.6639,0.73014,0.47821,1.18402,1.26482,1.40417,0.001901,0.001901,0.001901
7,2147.05,1.03035,0.92943,1.2188,0.78406,0.78342,0.84796,0.56453,1.03441,1.07723,1.28112,0.0018812,0.0018812,0.0018812
8,2448.41,0.99304,0.90065,1.20833,0.75377,0.75519,0.80841,0.54535,1.02054,1.02374,1.27403,0.0018614,0.0018614,0.0018614
9,2748.27,1.01008,0.89833,1.20648,0.76468,0.75509,0.81659,0.54922,1.05698,0.98864,1.24906,0.0018416,0.0018416,0.0018416
10,3050.78,0.99543,0.84659,1.19372,0.8496,0.75004,0.85424,0.60275,1.01318,0.86768,1.25231,0.0018218,0.0018218,0.0018218
11,3351.93,0.99321,0.8824,1.21333,0.72508,0.79888,0.83486,0.59294,0.99279,0.89976,1.19695,0.001802,0.001802,0.001802
12,3653.5,0.92812,0.80777,1.15901,0.86818,0.70954,0.84114,0.61185,0.91878,0.87669,1.15909,0.0017822,0.0017822,0.0017822
13,3952.12,0.88059,0.75148,1.12328,0.84577,0.73029,0.85015,0.63942,0.88336,0.81148,1.14666,0.0017624,0.0017624,0.0017624
14,4250.88,0.88001,0.74286,1.13581,0.79416,0.78838,0.86643,0.62778,0.90738,0.85761,1.17826,0.0017426,0.0017426,0.0017426
15,4549.66,0.85424,0.73209,1.11921,0.85767,0.77514,0.86842,0.64851,0.86779,0.78514,1.17109,0.0017228,0.0017228,0.0017228
16,4847.61,0.88381,0.74391,1.13048,0.82874,0.82322,0.88597,0.65519,0.89719,0.78086,1.20764,0.001703,0.001703,0.001703
17,5148.28,0.86554,0.73314,1.10806,0.86193,0.803,0.89279,0.66453,0.86147,0.77013,1.13741,0.0016832,0.0016832,0.0016832
18,5450.05,0.82599,0.70103,1.10238,0.89196,0.75934,0.87654,0.65596,0.85369,0.80414,1.13297,0.0016634,0.0016634,0.0016634
19,5750.91,0.80088,0.66393,1.0797,0.80979,0.83028,0.88084,0.66026,0.86913,0.74504,1.14092,0.0016436,0.0016436,0.0016436
20,6053.93,0.81025,0.66622,1.08656,0.83331,0.82976,0.90633,0.66452,0.88635,0.80759,1.18842,0.0016238,0.0016238,0.0016238
21,6356.43,0.81217,0.67236,1.09013,0.87181,0.80498,0.90227,0.66701,0.88654,0.74207,1.1893,0.001604,0.001604,0.001604
22,6659.6,0.81153,0.64808,1.09745,0.88552,0.7382,0.85638,0.66897,0.81104,0.76737,1.15865,0.0015842,0.0015842,0.0015842
23,6963.25,0.776,0.62863,1.07348,0.82621,0.78838,0.87205,0.65616,0.8821,0.75371,1.19595,0.0015644,0.0015644,0.0015644
24,7265.24,0.75132,0.60091,1.05953,0.8499,0.75104,0.86723,0.65333,0.84516,0.75208,1.13545,0.0015446,0.0015446,0.0015446
25,7567.73,0.79545,0.6328,1.06569,0.7735,0.8077,0.8559,0.63378,0.84519,0.80144,1.15645,0.0015248,0.0015248,0.0015248
26,7870.82,0.78093,0.64859,1.0567,0.79746,0.85477,0.87652,0.64446,0.91488,0.7499,1.19191,0.001505,0.001505,0.001505
27,8173.16,0.76809,0.62462,1.07395,0.88126,0.80066,0.89577,0.69114,0.8148,0.71122,1.09248,0.0014852,0.0014852,0.0014852
28,8475.11,0.76331,0.60976,1.06114,0.88195,0.77501,0.87382,0.64946,0.91396,0.72954,1.20331,0.0014654,0.0014654,0.0014654
29,8777.35,0.74321,0.62204,1.05918,0.9045,0.82525,0.91369,0.7017,0.79639,0.68992,1.12739,0.0014456,0.0014456,0.0014456
30,9080.33,0.75003,0.59417,1.05907,0.90739,0.85892,0.93276,0.72673,0.79743,0.60872,1.13657,0.0014258,0.0014258,0.0014258
31,9383.13,0.71645,0.56506,1.04111,0.92885,0.80498,0.93002,0.72245,0.77672,0.6173,1.1095,0.001406,0.001406,0.001406
32,9684.77,0.71826,0.56315,1.03394,0.90583,0.8382,0.91506,0.72472,0.79565,0.61229,1.11962,0.0013862,0.0013862,0.0013862
33,9987.21,0.69467,0.53052,1.01785,0.90727,0.82158,0.91956,0.70334,0.83518,0.67682,1.1491,0.0013664,0.0013664,0.0013664
34,10289.4,0.7104,0.54145,1.02869,0.9047,0.80913,0.91052,0.72137,0.73361,0.64717,1.07261,0.0013466,0.0013466,0.0013466
35,10592.3,0.69671,0.53874,1.02563,0.9053,0.87269,0.93787,0.75759,0.71029,0.60628,1.06807,0.0013268,0.0013268,0.0013268
36,10894.8,0.68422,0.51101,1.02008,0.87628,0.82988,0.92034,0.7234,0.76079,0.63773,1.09749,0.001307,0.001307,0.001307
37,11197,0.6935,0.54242,1.01988,0.88037,0.79396,0.88691,0.68741,0.81887,0.68812,1.14538,0.0012872,0.0012872,0.0012872
38,11499.6,0.68797,0.50696,1.02514,0.87332,0.82953,0.91012,0.70587,0.80349,0.63997,1.1362,0.0012674,0.0012674,0.0012674
39,11801.8,0.65985,0.50306,1.0001,0.90182,0.79668,0.90749,0.71256,0.76784,0.63383,1.10074,0.0012476,0.0012476,0.0012476
40,12103.4,0.65587,0.50636,1.01236,0.87649,0.87552,0.92743,0.72081,0.79297,0.63284,1.124,0.0012278,0.0012278,0.0012278
41,12405.9,0.66731,0.50847,1.0044,0.90946,0.83356,0.92147,0.72166,0.74337,0.59285,1.09269,0.001208,0.001208,0.001208
42,12708,0.6689,0.50225,1.00864,0.89204,0.79253,0.904,0.72156,0.77683,0.60256,1.11172,0.0011882,0.0011882,0.0011882
43,13010.6,0.60995,0.46645,0.98166,0.89027,0.87526,0.9156,0.72975,0.77713,0.60153,1.13001,0.0011684,0.0011684,0.0011684
44,13313.1,0.63231,0.48336,0.98576,0.89628,0.86055,0.91454,0.72485,0.75222,0.58438,1.09958,0.0011486,0.0011486,0.0011486
45,13615.1,0.63898,0.48125,0.99233,0.87944,0.87552,0.93352,0.71759,0.77656,0.58463,1.13417,0.0011288,0.0011288,0.0011288
46,13917.8,0.62954,0.48115,0.98537,0.90483,0.85062,0.91982,0.72526,0.78707,0.60588,1.108,0.001109,0.001109,0.001109
47,14220.7,0.62967,0.47248,0.98838,0.91813,0.86722,0.92584,0.75872,0.73406,0.53031,1.10747,0.0010892,0.0010892,0.0010892
48,14523.3,0.62499,0.45817,0.99429,0.83617,0.90041,0.92762,0.7399,0.74012,0.57248,1.09695,0.0010694,0.0010694,0.0010694
49,14824.8,0.59841,0.44728,0.96933,0.89841,0.82158,0.89921,0.71424,0.77337,0.6361,1.1084,0.0010496,0.0010496,0.0010496
50,15127.9,0.6013,0.44575,0.97521,0.89421,0.89627,0.93009,0.74209,0.71124,0.56465,1.07431,0.0010298,0.0010298,0.0010298
51,15430.4,0.60882,0.44747,0.97504,0.89622,0.88797,0.93007,0.76185,0.69312,0.53879,1.05381,0.00101,0.00101,0.00101
52,15733.2,0.59826,0.42474,0.97147,0.92726,0.85477,0.94839,0.77818,0.68704,0.50859,1.0581,0.0009902,0.0009902,0.0009902
53,16035.6,0.59092,0.4233,0.96793,0.94526,0.85062,0.93463,0.77467,0.70295,0.50181,1.08159,0.0009704,0.0009704,0.0009704
54,16336.8,0.61729,0.42881,0.9813,0.91832,0.85062,0.93087,0.73942,0.74466,0.57251,1.10961,0.0009506,0.0009506,0.0009506
55,16639.7,0.57374,0.4154,0.95518,0.9263,0.83443,0.92656,0.75078,0.75697,0.52844,1.11726,0.0009308,0.0009308,0.0009308
56,16943.3,0.56157,0.42101,0.93741,0.92063,0.86635,0.94565,0.77098,0.72202,0.50529,1.09295,0.000911,0.000911,0.000911
57,17244.8,0.57824,0.416,0.95708,0.87731,0.88382,0.94703,0.77878,0.6878,0.51206,1.072,0.0008912,0.0008912,0.0008912
58,17547,0.57491,0.42491,0.96391,0.87381,0.89071,0.94294,0.75294,0.72147,0.53543,1.09091,0.0008714,0.0008714,0.0008714
59,17847.2,0.5537,0.39387,0.94796,0.94399,0.90041,0.95962,0.77251,0.70575,0.48476,1.09258,0.0008516,0.0008516,0.0008516
60,18147.4,0.55448,0.40429,0.9426,0.89326,0.90456,0.94432,0.75435,0.71771,0.50232,1.1092,0.0008318,0.0008318,0.0008318
61,18449.4,0.55645,0.40836,0.94632,0.89561,0.89212,0.93742,0.75634,0.72344,0.55609,1.10291,0.000812,0.000812,0.000812
62,18752.3,0.55489,0.40953,0.95398,0.93981,0.84224,0.93997,0.76028,0.67039,0.53432,1.0509,0.0007922,0.0007922,0.0007922
63,19056.1,0.55454,0.40973,0.94383,0.90657,0.86722,0.93629,0.76092,0.66658,0.52527,1.05624,0.0007724,0.0007724,0.0007724
64,19360.3,0.54524,0.39876,0.94039,0.92142,0.87574,0.95146,0.77074,0.71135,0.49757,1.07502,0.0007526,0.0007526,0.0007526
65,19664.1,0.53733,0.38661,0.94428,0.91695,0.88797,0.94686,0.7597,0.70911,0.48939,1.08722,0.0007328,0.0007328,0.0007328
66,19969.3,0.54441,0.38546,0.94347,0.90996,0.86722,0.93025,0.75117,0.70922,0.52837,1.08246,0.000713,0.000713,0.000713
